target_name,render_seed,rank,score,clip_sim,lpips,rmse,prompt,image
1159_25.png,1159,1,0.732972,0.874492,0.537756,0.184993,"photorealistic 3D render, minimalist tall glass of creamy orange juice, candied ginger cubes scattered on matte brown surface, orange slice garnish on rim, sliced orange halves nearby, soft studio lighting, high-angle isometric view, octane render, sharp focus, clean composition, minimalist aesthetic, 8k, highly detailed textures",1159_25/rank_1.png
1159_25.png,1159,2,0.715894,0.929558,0.644907,0.208191,"photograph, glass of fresh orange juice, orange slice garnish on rim, scattered orange pieces and half-slices, soft muted brown background, high-angle shot, bright natural lighting, sharp focus, 8k, professional food photography, clean composition.",1159_25/rank_2.png
1159_25.png,1159,3,0.713902,0.918869,0.634017,0.211467,"hyper-realistic 3D render, orange juice in a clear tall glass, singular orange slice on rim, candied zest strips, soft gray background, scattered candied orange bits, natural light with soft shadows, top-down perspective, clean geometry, cinematic product lighting, crisp texture, 8k resolution, elegant minimalism.",1159_25/rank_3.png
1159_29.png,1159,1,0.692508,0.914396,0.681,0.229836,"photograph, solitary palm tree centered on a small jagged volcanic rock in the middle of the sea, turquoise water, calm ripples, distant hazy mountains, sunset glow, soft natural light, minimalist composition, highly detailed, sharp focus, cinematic depth, calm ocean, 8k, realistic render",1159_29/rank_1.png
1159_29.png,1159,2,0.69098,0.927821,0.697841,0.235987,"hyper-realistic photograph, central palm tree rooted in a small jagged rock formation in the middle of the sea, deep water, no coastline, sun reflecting on ocean waves, volumetric hazy sunset, atmospheric perspective, sharp focus on tree trunk textures, wide shot, professional color grading, high resolution, tranquil mood",1159_29/rank_2.png
1159_29.png,1159,3,0.688107,0.91489,0.718397,0.207766,"D render, single tropical palm tree in sea, textured rugged trunk, crashing gentle waves, sunset golden hour, hazy blue sky, distant island silhouette, soft lighting, depth of field, vibrant colors, masterpiece, hyper-realistic, octane render",1159_29/rank_3.png
1159_3.png,1159,1,0.693822,0.861532,0.630651,0.205317,"digital illustration, anime style, blonde warrior, teal ethereal smoke on left shoulder, orange flame manifestation on right shoulder, glowing amber energy flowing from chest down to hand, tactical grey armor, dark atmospheric background, sharp focus, intricate details, cinematic lighting, concept art, high quality",1159_3/rank_1.png
1159_3.png,1159,2,0.687344,0.813766,0.609733,0.184141,"stylized 3D render, blonde warrior, teal ethereal smoke, orange flame manifestation, glowing amber light flowing from chest, tactical metallic grey armor, deep atmospheric background, rim lighting, semi-realistic character design, high detail, intricate textures, volumetric, sharp focus, octane render",1159_3/rank_2.png
1159_3.png,1159,3,0.677137,0.811716,0.647867,0.177298,"semi-realistic digital art, warrior with blonde hair, white sci-fi combat armor, vertical glowing magma-like energy line on chest, ethereal teal smoke on left, swirling orange fire on right, desaturated atmospheric background, cinematic depth, clean lines, intricate metal textures, high quality, vivid lighting, fantasy concept art",1159_3/rank_3.png
1159_7.png,1159,1,0.701701,0.791776,0.566783,0.149913,"studio photograph, one spiky ginger hedgehog face emerging from top of a large monolithic cube made of stacked wooden blocks, monochromatic beige and tan palette, minimalist composition, soft directional studio lighting, sharp focus on fur texture, clean brown background, 8k, highly detailed, professional product photography",1159_7/rank_1.png
1159_7.png,1159,2,0.701654,0.778102,0.545421,0.153203,"photorealistic studio shot, one spiky ginger hedgehog face resting on top of a large cube made of stacked wooden blocks, monochromatic tan background, soft warm lighting, high detail, sharp focus, 8k, minimalistic composition, clean textures, professional product photography.",1159_7/rank_2.png
1159_7.png,1159,3,0.696502,0.729144,0.516875,0.133643,"D render, close-up, top view of a ginger hedgehog head resting flat on a large cube composed of a 6x6 grid of small light-wood blocks, precise geometric symmetry, soft monochromatic light, warm tan color scheme, sharp quill detail, clean solid background, minimalist aesthetic, ray tracing, high resolution, photorealistic.",1159_7/rank_3.png
7836.png,7836,1,0.767346,0.907864,0.54298,0.109685,"oil painting, lone astronaut figure, massive planet with rings dominating the horizon, dark textured space canvas, deep blue and copper orange color scheme, heavy brushstrokes, cosmic wonder, epic scale, dramatic light, classic sci-fi illustration style, masterpiece, high quality",7836/rank_1.png
7836.png,7836,2,0.75737,0.893898,0.55,0.117295,"oil painting, impressionistic style, a lonely astronaut on a rugged orange planet, giant shadow of a ringed planet spanning the sky, deep blue nebula background, expressive brushstrokes, dramatic scale, rich colors, emotional, atmospheric lighting",7836/rank_2.png
7836.png,7836,3,0.754021,0.895969,0.558946,0.122276,"cinematic photograph, lone astronaut standing on a desolate cratered planet surface, giant ringed gas giant planet looming in the starry deep space background, blue nebula wisps, sharp focus, high contrast, wide shot, deep space lighting, 8k resolution, photorealistic, epic scale",7836/rank_3.png
9338.png,9338,1,0.676183,0.877031,0.661567,0.253866,"oil painting, small fluffy hamster with soft fur, iridescent dragon-like spikes, pastel rainbow scales, impasto brushstrokes, vibrant orange and cyan palette, swirling radiant abstract background, soft warm lighting, rich texture, artistic masterpiece, highly detailed, whimsical creature, centered composition.",9338/rank_1.png
9338.png,9338,2,0.666952,0.845797,0.692316,0.212239,"oil painting, single dragon-hamster hybrid, solo subject, upright sitting pose, vibrant scales mixed with soft fur, rainbow aura radiating from center, golden orange and teal color palette, loose impressionistic brushwork, whimsical fantasy, magical atmosphere, intricate impasto details, masterpiece, high quality",9338/rank_2.png
9338.png,9338,3,0.666557,0.797542,0.680157,0.161376,"oil painting, whimsical single dragon-hamster hybrid, chubby rodent body, small dragon horns and dorsal spikes, vibrant iridescent scales mixed with soft orange fur, impasto brushwork, radiating rainbow aura background, soft warm magical lighting, centered composition, highly detailed, expressive texture, rich fantasy color palette, dreamlike atmosphere",9338/rank_3.png
